subject,trigger_foot,direction,perturbation,cadence,R_square,SS_residual,SS_total,SS_difference,foot_placement_ml_by_com_50_slope_1,foot_placement_ml_by_com_50_slope_2,foot_placement_ml_by_com_50_slope_3,foot_placement_ml_by_com_50_slope_4,cadence_actual
CAD01,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.935729687219567,0.00199526106589683,0.0310448320473133,0.0290495709814165,2.37143264528352,0.496180510595756,-0.299070001499017,-0.0236990919896922,109.434027105251
CAD01,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.881710230816289,0.00396054467090733,0.0334817178039833,0.029521173133076,2.97474145553289,0.520049725851546,-0.292309491354165,0.0935532601121188,79.5402575563984
CAD01,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.924241977799227,0.00658887393287465,0.0869726233799097,0.0803837494470351,2.34127191533747,0.510753089218726,-0.403567201397739,0.0155281263109809,109.692298795558
CAD01,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.889921614261167,0.00724968654083594,0.065859310092321,0.058609623551485,2.64037710971117,0.37317778860334,0.211866005621405,-0.0153503248559146,79.228689960274
CAD01,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.955671777649202,0.00231854746390233,0.0523040929896567,0.0499855455257544,2.39875644420566,0.575319756657576,-0.50924647844506,-0.0588200020446413,110.39281773176
CAD01,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.891792633825758,0.00593598309851015,0.054857476975751,0.0489214938772408,3.60431167059495,0.570926573202978,-0.252626037609309,-0.0332684190113032,82.2431704415045
CAD01,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.894591704775256,0.00910092877453564,0.0863397776724431,0.0772388488979075,3.01628815742555,0.46465102661607,-0.354463991587069,-0.0412630455474949,110.979414608165
CAD01,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.853618760758622,0.0149627462906891,0.102217650077521,0.0872549037868322,2.722162571375,0.519434649241835,-0.121120364658506,-0.0933876476929108,82.9124421907573
CAD02,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.931714947172229,0.00172691303228793,0.0252897663657601,0.0235628533334722,2.57050668907314,0.412213170128218,-0.0946055978633732,-0.0223868471881355,112.373824727115
CAD02,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.868729627112084,0.00328633278870464,0.0250348400511565,0.0217485072624519,3.38134404299223,0.634603489269684,-0.0554357405151323,0.153193587013984,85.6154876648277
CAD02,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.892195776024278,0.00278507146340436,0.0258345300461656,0.0230494585827613,2.51918740338586,0.625751139809457,0.371036786526511,0.0827341838688349,112.870936614117
CAD02,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.777759882806971,0.00893247784385925,0.0401929136677914,0.0312604358239321,4.28217275125179,0.532916245267266,0.36366126212107,-0.00315954671943968,87.9708864053551
CAD02,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.870964651104314,0.00163175004282326,0.0126457599160862,0.0110140098732629,2.25814453911137,0.486420486937858,0.0370698759113959,0.0984315645046793,111.767093133016
CAD02,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.931251094194615,0.00263782815537429,0.038369020197085,0.0357311920417107,3.06962770812545,0.710966988244717,-0.400532033201687,0.260530685090471,81.6029124849386
CAD02,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,110BPM,0.857286912568113,0.00244801866614351,0.0171534279735338,0.0147054093073903,2.24921257764464,0.487543274987442,0.07544803406605,0.0125837395632459,112.208595993617
CAD02,TRIGGER_RIGHT,STIM_TOWARDS,STIM_RIGHT,80BPM,0.766631070262985,0.0126440011491155,0.0541803108209996,0.0415363096718841,4.81431063658099,0.741946837326766,-0.5318093724798,0.0703564583347676,83.016958350357
CAD04,TRIGGER_LEFT,STIM_NONE,STIM_NONE,110BPM,0.93612268187076,0.00299817734331553,0.0469364937527506,0.0439383164094351,2.28360059751031,0.580555424880537,-0.0303387016219193,-0.061720481511866,111.187265974657
CAD04,TRIGGER_LEFT,STIM_NONE,STIM_NONE,80BPM,0.82181097606834,0.0104606651797699,0.0587054407109933,0.0482447755312235,2.79652162592053,0.568185606730502,0.194580099990424,0.110803690700033,83.405005509571
CAD04,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,110BPM,0.930896537361471,0.00749859828178573,0.108512627232731,0.101014028950946,2.35064497362551,0.600788602154711,-0.0275839541389583,-0.0978395924362549,110.928605293095
CAD04,TRIGGER_LEFT,STIM_TOWARDS,STIM_LEFT,80BPM,0.755286308854132,0.0108680632805116,0.0444113413909211,0.0335432781104095,3.35141829821327,0.620626164929473,-0.0178084989722528,0.192819731138,82.330378764948
CAD04,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,110BPM,0.920732465970443,0.00549783235252785,0.0693579334822983,0.0638601011297705,2.48840983954302,0.549019482408127,-0.0565371793367404,0.00359905033716006,109.724581015814
CAD04,TRIGGER_RIGHT,STIM_NONE,STIM_NONE,80BPM,0.823572611567716,0.00560400229774844,0.031763788760606,0.0261597864628576,2.00720898395259,0.521909714885694,0.337644071089163,-0.0595015581473495,85.5974534242239
